key,text,context
exposition_intro,"Welcome to Plot Twist!. You will be making your own unique version of a classic fairy tale. And what better fairy tale to start with than Cinderella! Let's begin at the beginning: the Exposition. Each player will be asked a question that will decide a key feature of our story's setting.",Shown at start of exposition round
round_2_intro,"Now that we know our setting, let's see what happens next. Time for some rising action!",Shown at start of round 2
round_3_intro,"The plot thickens! Another rising action round.",Shown at start of round 3
round_4_intro,"Things are getting more complicated...",Shown at start of round 4
climax_intro,"It all comes down to this. The scores have been tallied, and fate has chosen its players. {protagonist}, as our highest scorer, will play the hero. {antagonist}, as our lowest scorer, will play the villain. The climax of our story: {climax_type}. {climax_prompt}. The hero and villain will each secretly choose their move. Then, everyone will vote on which action shapes the story.",Shown at start of climax round
climax_waiting,"The showdown has begun. {protagonist} and {antagonist} are choosing their fate. The question: {climax_prompt}.",Shown to non-picking players during climax picks
climax_vote_intro,"The hero and villain have made their choices. Now it's up to everyone: which action will become part of the story? {climax_prompt}.",Shown on TV before climax vote options
resolution_intro,"And now... how does our story end?",Shown at start of resolution
title_prompt,"Now that the story has been told — give it a title!",Shown when players write titles
reactions_prompt,"React to this answer!",Shown during reaction phase
waiting_for_players,"Waiting for other players to submit...",Shown while waiting
all_players_ready,"Everyone's ready! Let's see what you came up with.",Shown when all submissions are in
game_over,"Thanks for playing! Here's how the story turned out.",Shown at end of game
